number,previousName,currentName,address,age,category
4F012,永丰坊、大德里、恒安坊,永丰坊、大德里、恒安坊,四川北路1515弄20-24号、34-105号，1519-1543号，1545弄1-33号、1-19号，1549-1551号,永丰坊1930，大德里1927，恒安坊1927,四
4F013,广东大戏院/虹光大戏院,群众影剧院,四川北路1552号,1930,四
4F014,狄思威公寓,溧阳大楼,四川北路1914-1932号,1929,三
4F015,永安里,永安里,四川北路1953弄、多伦路152-192号,前半段：1925，后半段：1945后,三
4F016,花园住宅,钱币博物馆/卫生局,四川北路2023弄35号,1926,二
4F017,拉摩斯公寓,北川公寓,四川北路2079-2099号,1928,三
4F018,西童公学,复兴初级中学,四川北路2066号,1913,三
4F019,樱苑别墅,上海青岛啤酒华东（控股）有限公司,四川北路2365号,1927,三
4F020,白氏旧居,海军411医院,多伦路210号,1926,二
4F021,恒丰里，新恒丰里,恒丰里，新恒丰里,山阴路69弄、85弄,1905,三
4F022,日照里,东照里,山阴路133弄,1920,三
4F023,花园里,花园里,山阴路145弄,1927,三
4F024,亚细亚里,亚细亚里,黄渡路107弄、109 号,1935,三
4F025,摩西会堂,摩西会堂,长阳路62号,1927,三
4F026,住宅,住宅,霍山路71-95号，舟山路21-81号,1910,三
4F027,住宅,住宅,霍山路119-121号，127-137号，125弄3-5号,1910,三
4F028,住宅,住宅,长阳路50弄15-31号,1916,三
4F029,住宅,住宅,杨树浦路197-213号,1920年代,三
4F030,住宅,住宅,临潼路25-89号、99弄,1920年代,三
4F031,花园住宅,新华印刷厂及部队住宅,榆林路43号、47号、59号、63号大宅,1927,三
5F001,花园住宅,虹口区城市管理行政执法局,东汉阳路205号,待考,二
5F002,上海市警察局虹口分局,公安大楼,塘沽路219号,1936,二
5F003,住宅,住宅,山阴路275弄（1-4号）、四达路262、266、272、274、286号,不详,三
5F004,住宅,住宅,东体育会路119弄22、23号,不详,三
5F005,住宅,住宅,祥德路25弄1号、2、3号,不详,三
5F006,住宅,住宅,山阴路209弄（1-9号）、229弄（1-6号）,不详,三
5F007,住宅,住宅,黄渡路79号,不详,三
5F008,住宅,住宅,祥德路66弄（1-3号）,不详,三
5F009,住宅,住宅,黄渡路17弄3号,不详,三
5F010,恩德堂教堂及宿舍,住宅,武进路225弄（3-11号）,1930年代,三
5F011,日本教堂,住宅,乍浦路439号,1930年代,三
5F012,裕棠庚住宅,住宅,平凉路25号,1920,三
5F013,住宅,住宅,保定路410-448号（双号）,不详,三
5F014,新沙逊洋行、东南日报,住宅,"长春路307-365号,四川北路1938-1950号（双号）",1930年代,三
5F015,积善里,积善里,山阴路340弄(1-31号)、320号、350号,1926,三
5F016,住宅,住宅,山阴路274弄（1-11号）,不详,三
5F017,丰乐里,丰乐里,四川北路1999弄（1-110号），四川北路2001-2021号（单号）,1916,三
5F018,公园坊,公园坊,西江湾路476弄（1-35号）,20世纪30年代初,三
5F019,恩德堂,上海市虹口区消费者权益保护委员会,乍浦路480、490号(双号),1930年代,三
5F020,花园住宅,老电影咖啡馆,多伦路123号,不详,三
5F021,杭氏住宅,舟山路幼儿园,舟山路455号,1920年代,三
5F022,海宁洋行旧址,上海益民食品一厂历史展示馆,香烟桥路13号,不详,三
5F023,矽肺治疗所，上海第一建筑材料工业公司职工治疗所，上海市建材局职工治疗所,上海赤峰医院,东体育会支路41号,1930年代,三
5F024,三多里,三多里,周家嘴路786弄（31-65号）,1926,三
5F025,住宅,住宅,四川北路2299弄（1-3号）、2319弄（1-3号）、2339弄（1-3号）、2305-2345号（单号）,1920年代,三
5F026,住宅,住宅,东体育会路119弄（老3号）,1930年代,三
5F027,赵植初住宅/王造时旧居,上城集团,多伦路93号,1920年代,三
