number,previousName,currentName,address
4A001,上海基督教青年会,浦光大楼/浦光中学,四川中路595-607号
4A002,英商自来水公司大楼,自来大楼,江西中路484号
4A003,英商自来水公司办公楼,自力大楼/自来水公司管线管理所,江西中路464-466号
4A004,源源长银行/东方企业公司,住宅,江西中路473号
4A005,恒丰大楼,恒丰大楼/上海航道局办公用房,江西中路450号-454号
4A006,信托大楼/上海信托公司,沙美大楼,北京东路190号
4A007,浙江兴业银行,上海市建工集团、上海市物资局、北京西路售票处等,北京东路230号
4A008,中垦大楼/中国垦业银行,上海市电力公司(北部）、上海市建筑材料供应总公司、上海航空铸锻公司,北京东路239、255号
4A009,"中一信托大楼/
 中一信托股份公司",中一大楼/上海市联运总公司,北京东路270号
4A010,盐业大楼/盐业银行,上海长江电气集团等,北京东路280号
4A011,上海洋行/上海商业储蓄银行,上海浦东发展银行总部,"宁波路40、50号，
 江西中路368号"
4A012,中央储蓄会/广东银行,光大银行,天津路2号，江西中路349号
4A013,美丰银行,美丰大楼/上海强农集团,"河南中路521-529号，
 宁波路180号"
4A014,恒利银行,永利大楼,河南中路495号，天津路100号
4A015,上海钱业公会,钱业大楼/长江计算机集团,宁波路276号
4A016,南京饭店,南京饭店,山西南路182-200号
4A017,安利洋行,"安利大楼/
 上海晶通化学品有限公司等",四川中路320号，九江路80号
4A018,大清银行/中国人寿保险公司,"上海骅骏商贸有限公司、
 市残疾人联合会","四川中路268-270号，
 汉口路50号"
4A019,百乐饭店/同仁医院/教会学校/中国基督教协会,曾为黄浦区人民政府大楼,九江路219号
4A020,花园住宅,上海市公安机关服务中心,汉口路210号
4A021,旗昌洋行,上海市生产服务合作联社等,福州路17、19号
4A022,中兴银行,申达大楼/上海市机电设计研究院,福州路89号
4A023,雷米洋行/利名洋行,住宅,金陵东路8号
4A024,约克大楼,金陵大楼,四川南路29号
4A025,太古洋行,丰华大楼/上海工业发展基金会,中山东二路22号
4A026,金城大戏院,黄浦剧场,北京东路780号
4A027,三星大舞台/中国大戏院,中国剧场,牛庄路700号-714号
4A028,新光大戏院,新光影艺院,宁波路586号
4A029,中国大饭店,上海铁道宾馆,"宁波路588号，
 贵州路160号-170号"
4A030,扬子饭店,扬子饭店(曾用名：申江饭店),汉口路740号(云南路转角)
4A031,中国纺织建设公司第五仓库,上海市纺织原料公司新闸桥仓库,南苏州路1295号
4A032,洋行,上海东方音像有限公司,广东路306号
4A033,江苏旅社,住宅,福州路379弄50号
4A034,中国银行南市办事处,童涵春堂,人民路1号(小东门)
4A035,仁记珠宝银楼,瑞源珠宝等,中华路5号
4A036,联市联谊会,上海双工缝纫设备开发公司,中华路55号
4A037,集贤村,集贤村,"金坛路35弄1号-30号、
 32号-44号"
4A038,小南门警钟楼,小南门警钟楼,中华路581号
4A039,沪南钱业公所,沪南钱业公所,"人民路安仁街古城公园内
 （原址：北施家弄133号）"
4C001,中德医院,妇婴保健院,延安中路393号
4C002,康绥公寓,康绥公寓,淮海中路468-494号
4C003,国泰公寓,国泰公寓,淮海中路816弄、818－832号
4C004,霞飞坊,淮海坊,淮海中路927弄
4C005,法国体育总会,科学会堂,南昌路57号
4C006,上海别墅,上海别墅,南昌路110弄、112-122号
4C007,花园住宅群,花园住宅群,南昌路124－134号、136弄1-16号、138-146号
4C008,克美产科医院,卢湾区政府2号楼,重庆南路139号
4C009,花园住宅,花园住宅,皋兰路11-17号
4C010,希勒公寓,钟和公寓,茂名南路106-124号，南昌路179号
4C011,梅兰坊,梅兰坊,黄陂南路596弄1-58号
4C012,派克公寓,花园公寓,复兴中路455号
4C013,花园住宅,花园住宅（其中471－473号曾为卢湾区第四聋哑学校）,复兴中路471－473号，477号
4C014,花园住宅,花园住宅,复兴中路517号，531号，533-537号，539号，541号
4C015,辣斐坊,复兴坊,复兴中路553弄1-21号，543-551号，555-561号
4C016,花园住宅,花园住宅,思南路50-70号
4C017,万宜坊,万宜坊,重庆南路205弄5-94号
4C018,广慈医院,瑞金医院8号楼、3号楼,瑞金二路197号
4C019,安和新村,安和新村,瑞金二路198弄
4C020,金谷村,金谷村,绍兴路18弄，绍兴路2-34号，瑞金二路132弄1-59号、78-83号
4C021,爱麦虞限路9号宅,上海昆剧团,绍兴路9号
4C022,明复图书馆,卢湾区图书馆,陕西南路235号
4C023,花园住宅,花园住宅,淮海中路796号
4B001,中苏友好大厦,上海展览中心,延安中路1000号
4B002,荣氏花园住宅,花园住宅/香港星空传媒集团公司上海代表处,陕西北路186号
4B003,宋氏花园住宅,宋氏花园住宅,陕西北路369号
4B004,花园住宅,上海市外事办公室,铜仁路257号
4B005,大新烟草公司,上海电筒厂职工宿舍,北京西路1094弄2号
4B006,花园住宅,上海电气进出口公司,北京西路1394弄2号
4B007,纪氏花园住宅,静安区文化局,北京西路1510号
4B008,觉园（南国大佛寺），金刚道场,居士林，金刚道场,常德路418号
4B009,沁园村,沁园村,新闸路1106-1120（双）号、新闸路1124弄1-27、29、31-42、44-56（双）号
4B010,刘氏花园住宅，小校经阁(八角楼),住宅,新闸路1321号
4B011,宜德堂,杨氏花园住宅,昌化路136号
4B012,花园住宅,康定花园,康定路2号
4B013,戈登路巡捕房,上海商业会计学校静安分校,江宁路511号
4B014,花园住宅,市眼科医院,陕西北路805号
4B015,住宅,静安区政协,康定路759弄
4B016,司米托莫银行,上海对外经济研究中心/全球经济发展中心,胶州路510号
4B017,龚氏花园住宅,宝钢老干部活动中心,胶州路522号
4B018,上海市政委员会电力部住宅,上海古典建筑装饰工程一公司,胶州路561号
4B019,上海市科学馆,静安区业余大学,胶州路601号
4B020,刘氏花园住宅,市房地产经济协会,长乐路786号、784号
4B021,中央储备银行,上海歌舞剧院,常熟路100弄10号
4B022,新恩堂/上海公共礼拜堂/基督教新教堂,上海基督教三自爱国运动委员会,乌鲁木齐北路25号
4B023,熊佛西楼,上海戏剧学院熊佛西楼,华山路630号
4B024,潘氏花园住宅,上广交响乐团,武定西路1498弄
4B025,花园住宅,辞书出版社,陕西北路457号
4H001,华联新泰仓库,百联集团华联商厦新泰路仓库,新泰路57号
4H002,中国实业银行,跳蚤市场,北苏州路1028号
4H003,中国银行仓库,茂联丝绸商厦,北苏州路1040号
4H004,会审公堂，上海第一特区地方法院/江苏高等法院第二分院,上海医疗器械九厂,浙江北路191号
4H005,梁氏民宅,梁氏民宅,山西北路457弄61号
4H006,住宅,住宅,武进路580弄
4H007,福新面粉一厂厂房及仓库,华联集团电工照明器材有限公司仓库,光复路423-433号，长安路101号
4D001,杜氏公馆,东湖宾馆,东湖路70号
4D002,花园住宅,青年报社,东湖路17号
4D003,沪江别墅,沪江别墅,长乐路613弄
4D004,a花园住宅，b花园住宅，c花园住宅,上海市武警总队,淮海中路1209号
4D005,愉园,愉园,淮海中路1350弄
4D006,花园住宅,上海市武警总队家属楼,淮海中路1414号1号楼
4D007,花园住宅,花园住宅,淮海中路1897号
4D008,a犹太俱乐部，b花园住宅/比利时领馆,上海音乐学院院部办公楼，上海音乐学院专家楼,汾阳路20号
4D009,犹太医院，水塔,上海眼耳鼻喉科医院10号楼，水塔,汾阳路83号
4D010,并立花园住宅,并立花园住宅,汾阳路152-154号、156-158号
4D011,伊丽莎白公寓,复中公寓,复兴中路1327号
4D012,黑石公寓,复兴公寓,复兴中路1331号
4D013,花园住宅，花园住宅,上海市轻工业研究所3号楼，4号楼,宝庆路20号
