number,previousName,currentName,address
2A001,法国邮船大楼,住总公司机电设计院,中山东二路9号
2A002,有利银行,上海建筑设计研究院,中山东一路4号
2A003,中国通商银行,华夏银行,中山东一路6号
2A004,大北电报局,盘谷银行上海分行,中山东一路7号
2A005,华俄道胜银行,中国外汇交易中心,中山东一路15号
2A006,台湾银行,工艺品进出口公司,中山东一路16号
2A007,字林西报大楼,"丝绸进出口公司
 上海通联实业总公司",中山东一路17号
2A008,麦加利银行,上海家用纺织品进出口公司,中山东一路18号
2A009,横滨正金银行,工商银行；纺织控股集团公司,中山东一路24号
2A010,英国领事馆,市机管局,"中山东一路33号1#楼
 中山东一路33号8#楼"
2A011,外滩信号台,外滩史陈列室,中山东二路
2A012,外白渡桥,外白渡桥,外滩
2A013,乍浦路桥,乍浦路桥,乍浦路
2A014,四川路桥,四川路桥,四川中路
2A015,格林邮船大楼,上海广播电视台,北京东路2号
2A016,洋 行,海运服务公司,滇池路100号
2A017,洋 行,电视社杂志社,滇池路120号
2A018,洋 行,圆明园酒家,北京东路81号
2A019,国华银行大楼,黄浦税务局,北京东路342号
2A020,广学大楼,市文体进出口公司,虎丘路128号
2A021,光陆大戏院,外贸会堂,虎丘路146号
2A022,银行公会大楼,爱建公司,香港路59号
2A023,洋行,上海广告公司,圆明园路97号
2A024,女青年会大楼,市政设计院,圆明园路133号
2A025,真光大楼,真光大楼,圆明园路209号
2A026,迦陵大楼,嘉陵大楼,南京东路99号
2A027,慈淑大楼,东海商都,南京东路353号
2A028,麦家圈医院,仁济医院,山东中路145号
2A029,正广和公司,机要局,福州路44号
2A030,总巡捕房,上海市公安局,福州路185号
2A031,美国花旗银行,高级法院,福州路209号
2A032,大来大楼,锦江集团财务公司证券经营部； 建设银行三支行,"广东路51,59号"
2A033,永年人寿保险公司,"上海巴黎国际银行、轻工业局；
 老干部大学",广东路93号
2A034,申报馆,三环房产公司,汉口路309号
2A035,吉祥里,吉祥里,河南中路531-541号
2A036,礼记洋行,鲤鱼门酒店,江西中路255号
2A037,汉弥登大楼,福州大楼,江西中路170号
2A038,都城饭店,新城饭店,江西中路180号
2A039,建设大厦,冶金工业局,江西中路181号
2A040,浙江第一商业银行,华东建筑设计研究院,汉口路151号
2A041,大陆银行,上海信托投资公司,九江路111号
2A042,物业供应站,市医药供应公司,九江路89号
2A043,上海公库,建设银行分行,九江路50号
2A044,中华邮政储金汇业局,九江路邮电局,九江路36号
2A045,若瑟堂,若瑟堂,四川南路36号
2A046,企业大楼,轻工业局,四川中路33号
2A047,卜内门大楼,"上海时运物业集团/
 上海市新华书店",四川中路133号
2A048,汇丰大楼,上海浦东国际机场公司,四川中路220号
2A049,四行储蓄会大楼,化轻公司,四川中路261号
2A050,东方饭店,上海市工人文化宫,西藏中路120号
2A051,德士古大楼(会德丰大楼),上海黄浦房地产股份有限公司,延安东路110号
2A052,中汇大楼,中汇大楼,延安东路143号
2A053,华商纱布交易所,上海市自然博物馆,延安东路260号
2A054,中法学堂,光明中学,淮海东路70号
2A055,三井洋行,手表七厂办公楼,四川中路185号
2A056 (2E001),慈修庵,慈修庵,秦岭街15号
2A057 (2E002),小桃园清真寺,小桃园清真寺,小桃园街52号（主楼）
2A058 (2E003),清心堂,清心堂,大昌街30号
2C001,法公董局,综合办公楼,淮海中路375号
2C002,培文公寓,培文公寓,淮海中路449号
2C003,永业大楼,永业大楼,淮海中路481号
2C004,国泰大戏院,国泰电影院,淮海中路870号
2C005,法国总会,花园饭店,茂名南路58号
2C006,兰心大戏院,兰心大戏院,茂名南路57号
2C007,ASTRID公寓,南昌大楼,茂名南路143号
2C008,法国总会（老）,科学会堂(一号楼),南昌路47号
2C009,梵尔登花园,里弄住宅,陕西南路39弄1-103号
2C010,陕南村,陕南村,陕西南路157-187号
2C011,花园住宅,花园住宅,思南路51-95号(单)
2C012,震旦大学图书馆教学大楼/震旦大学博物馆,第二医科大学十二号大楼/昆虫研究所,重庆南路280号/重庆南路225号
2C013,东正教堂,幸运城大酒店,皋兰路16号
