number,previousName,currentName,address
2C014,江南制造局,江南造船厂,高雄路2号（总办公楼）/2号船坞/指挥楼/飞机车间
2B001,犹太人总会/黄河皮鞋店,联谊俱乐部统战部/市皮革公司商厦,南京西路722号/南京西路702号
2B002,德义大楼,德义大楼,南京西路778号
2B003,中国银行,中国工商银行,南京西路801号
2B004,MEDHURST大楼,泰兴大楼,南京西路934号
2B005,静安别墅,静安别墅,南京西路1025弄
2B006,花园住宅,对外友协外办,南京西路1418号
2B007,模范村,模范村,延安中路877号
2B008,住宅,住宅,延安中路931-979号
2B009,意大利总会,市文联,延安西路238号
2B010,百乐门舞厅,百乐门影剧院,愚园路218号
2B011,愚谷村,愚谷村里弄住宅,愚园路361弄
2B012,住宅,第二工业大学,陕西北路80号
2B013,怀恩堂,怀恩堂,陕西北路375号
2B014,西摩路会堂,市教育局礼堂,陕西北路500号
2B015,花园住宅,市规划院,铜仁路333号
2B016,花园住宅,中信公司,北京西路1301号
2B017,大胜胡同,大胜胡同,华山路229-285弄
2B018,海格大楼,静安宾馆,华山路400号
2B019,美国学校,中福会儿童艺术剧院/马可波罗俱乐部,华山路643号/华山路639号
2B020,枕流公寓,枕流公寓,华山路731号
2B021,景华新村,景华新村,巨鹿路820弄
2B022,爱登公寓,常德公寓,常德路195号
2B023,望德堂,住宅,北京西路1220弄2号
2B024,雷氏德医学院,医工院,北京西路1320号
2B025,花园住宅,市仪表局,延安中路816号
2H001,四行仓库,仓库,光复路21号
2D001,花园住宅,东湖宾馆七号楼,淮海中路1110号
2D002,亨利公寓,淮中大楼中波轮船公司,淮海中路1160-1164号
2D003,盖司康公寓,淮海公寓,淮海中路1202号
2D004,上方花园,上方花园,淮海中路1285弄
2D005,皇家公寓,淮海大楼、美美百货,淮海中路1300-1326号
2D006,花园住宅,法国领事馆,淮海中路1431号
2D007,花园住宅,美国领事馆,淮海中路1469号
2D008,逸村,逸村,淮海中路1610弄
2D009,花园住宅,市科技情报所,淮海中路1634号
2D010,中南新村,中南新村,淮海中路1670弄
2D011,花园住宅,花园住宅,淮海中路1754弄
2D012,东美特公寓,武康大楼,淮海中路1842-1858号
2D013,丁香花园,丁香花园,华山路849号主楼
2D014,住宅,工商业联合会,华山路893号
2D015,南洋公学,交通大学：正门/体育馆/校办公楼/教学楼/图书馆,华山路1954号
2D016,道斐南公寓,建国公寓,建国西路394号
2D017,建业里,建业里,建国西路440弄
2D018,懿园,懿园,建国西路506弄
2D019,住宅,波兰驻沪总领事馆,建国西路618号
2D020,美童公学,七0四所,衡山路10号
2D021,华盛顿公寓,西湖公寓,衡山路303号
2D022,毕卡迪公寓,衡山宾馆,衡山路534号
2D023,住宅,德国驻沪总领事馆,永福路151号
2D024,花园住宅,老干部局,岳阳路145号
2D025,永嘉新村,永嘉新村,永嘉路580号
2D026,永康新村,永康新村,永康路580号
2D027,花园住宅,一0三所,岳阳路110号
2D028,花园住宅,老干部局,岳阳路145号
2D029,住宅,里弄住宅,岳阳路200弄
2D030,中央研究院,中科院生理研究所,岳阳路320号
2D031,徐汇公学,徐汇中学,虹桥路68号
2D032,徐家汇圣母院,徐家汇圣母院,漕溪北路45号
2D033,藏书楼,上海市图书馆,漕溪北路80号
2D034,中山医院,中山医院,医学院路136号（主楼）
2D035,国立上海医学院,第一医科大学,医学院路138号（主搂）
2D036,正广和大班住宅,住宅,武康路99号
2D037,密丹公寓,密丹公寓,武康路115号
2D038,丽波花园东主楼,市体育研究所,吴兴路87号
2D039,朱敏堂住宅,住宅,乌鲁木齐南路151号
2D040,自由公寓,自由公寓,五原路258号
2D041,东正教堂,建设银行,新乐路55号
2D042,高安公寓,高安公寓,高安路14号
2D043,会乐精舍,会乐公寓,复兴西路34号
2D044,克莱门公寓,克莱门公寓,复兴中路1363弄
2D045,住宅,住宅,汾阳路9弄3号
2D046,住宅,音乐学院附校甲楼/乙楼,东平路9号
2D047,赛华公寓,瑞华公寓,常熟路209号
2D048,住宅,结核病防治中心,延庆路130号
2F001,日本领事馆/联合救济总署,商业置地公司,黄浦路106号红楼/灰楼
2F002,河滨公寓,河滨公寓,北苏州路340号
2F003,鸿德堂,鸿德堂,多伦路59号
2F004,雷氏德工学院,海员医院,东长治路505号
2F005,北方局,远洋运输公司,东大名路378号
2F006,高阳大楼,高阳大楼,东大名路817号
2F007,新亚酒楼,新亚大酒店,天潼路422号
2F008,四行大楼,九州商厦,四川北路1274号
2F009,中国银行大楼,工商银行,四川北路894号
2F010,景灵堂,景灵堂,昆山路135号
2F011,虹口救火会,虹口消防队,哈尔滨路2号
2F012,上海监狱,提蓝桥监狱,长阳路147号
2G001,杨树浦电厂,杨树浦电厂,杨树浦路2800号（铁皮车间）
2G002,沪江大学,华东工业大学，上海理工大学,军工路516号礼堂/实验楼
2G003,旧市博物馆,第二军医大学（主楼）,长海路174号
2G004,旧市图书馆,同济中学,黑山路181号
2M001,住宅,安徽省驻沪办事处招待所,新华路185弄1号
2M002,住宅,市一商局疗养院,新华路315号
2M003,住宅,住宅,新华路329弄17号
2M004,西园大厦,西园公寓,愚园路1396号
2M005,住宅,比利时驻沪总领事馆,武夷路127号
2M006,圣约翰大学:校政厅/怀施堂/思颜堂/思孟堂/科学馆/西门堂,华东政法学院:校长办公楼4号楼/韬奋楼41号楼/学生宿舍40号楼/学生宿舍43号楼/办公楼42号楼/东风楼22号楼,万航渡路1175号
2M007,卫乐园,卫乐园,泰安路120号
2M008,中西女中,市三女中,江苏路155号东楼/北楼
2M009,住宅,武警总队,虹桥路2275号
2M010,安息堂,安息堂,虹桥路2381号
2M011,住宅,住宅,愚园路754号
2N001,中国造币厂,上海造币厂,光复西路17号
2N002,玉佛寺,玉佛寺,安远路170号
