number,previousName,currentName,address
3A001,扬子大楼/扬子水火保险公司,中国农业银行上海分行外汇营业部大楼/中国农业银行上海分行,中山东一路26号
3A002,交通银行/交通银行,"上海市总工会大楼/
 上海市总工会",中山东一路14号
3A003,日清大楼/日清汽船株式会社,锦都大楼/华夏银行上海分行、锦都实业总公司,中山东一路5号
3A004,普益大楼/普益地产公司,上海电气集团总公司,四川中路106-110号
3A005,大北大楼电报局,"上海长途电信科技发展公司、
 上海市城市交通管理局",延安东路34号
3A006,中南大楼/中南银行,"爱建金融大楼/
 爱建信托投资有限公司等",汉口路110号
3A007,美伦大楼,上海晒图厂等,南京东路151-171号
3A008,电力大楼/上海电力公司,华东电力管理局,南京东路181号
3A009,博物院大楼/亚洲文会、英国皇家亚洲文会北中国支会,青岛工行/上海图书馆书库,虎丘路20号
3A010,"颐中大楼/
 英美颐中烟草股份有限公司",上海海鸥照相机销售有限公司等,南苏州路161-175号
3A011,沪宁铁路局、安顺洋行等,元芳弄,四川中路126弄5-21号
3A012,三菱大楼、美孚大楼,懿德大楼/新世纪创业有限公司，黄中大楼/黄浦区中心医院门诊部,"广东路94-102号/
 四川中路109号"
3A013,青年协会大楼,虎丘公寓,虎丘路131号
3A014,兰心大楼,渣打银行上海分行,圆明园路185号
3A015,恒业里,恒业里,江西中路135弄1-13号
3A016,四明大楼,上海建筑材料集团总公司,北京东路232-240号
3A017,哈同大楼,慈安里大楼,南京东路98-114号
3A018,东亚大楼,东亚银行,四川中路299号
3A019,谦信大楼,"中国人民解放军海军后勤部
 上海物资站",江西中路138号
3A020,瑞康洋行买办住宅,上海市储能中学一分部,黄陂南路25号乙
3A021,清心女中,上海市第八中学,陆家浜路550号
3A022,龙门村,龙门村,尚文路
3A023,中法求新机器轮船制造厂,"上海求新船厂——厂部办公楼/
 红楼",机厂路132号
3A024,上海电话局南市总局,"上海市中华路电话局
 ——办公楼/机房",中华路734号
3C001,爱司公寓,瑞金大楼,瑞金一路150号
3C002,泰山公寓,泰山大楼,淮海中路622弄
3C003,飞霞别墅,飞霞别墅,淮海中路584弄
3C004,飞龙公寓,住宅,淮海中路538-544号及542弄
3C005,法租界霞飞路巡捕房,卢湾区职业教育中心,淮海中路235号
3C006,白尔登公寓,陕南大楼,陕西南路213号
3C007,住宅,瑞金宾馆3号楼,瑞金二路118号
3C008,住宅,瑞金宾馆4号楼,瑞金二路118号
3C009,住宅,上海文史馆,思南路39号-41号
3C010,巴黎公寓,巴黎公寓,重庆南路165号
3C011,巴黎新村,巴黎新村,重庆南路169弄
3C012,永丰村,住宅,重庆南路177号、179弄1-10号
3C013,吕班公寓,重庆公寓,重庆南路185号
3C014,诸圣堂,诸圣堂,复兴中路425号
3C015,住宅,住宅,皋兰路1号
3C016,住宅,上海文艺出版社等,绍兴路74号
3C017,香山路住宅,住宅,香山路6号
3B001,邱氏住宅,民立中学四号楼,威海路412号
